iter	Passed	Remaining
0	192	19034
1	232	11398
2	267	8644
3	302	7256
4	338	6428
5	374	5861
6	412	5475
7	453	5212
8	496	5023
9	550	4952
10	585	4738
11	621	4554
12	657	4398
13	692	4255
14	729	4133
15	765	4019
16	810	3958
17	848	3866
18	895	3817
19	937	3750
20	975	3670
21	1012	3588
22	1047	3505
23	1083	3432
24	1122	3366
25	1161	3305
26	1200	3244
27	1236	3178
28	1272	3115
29	1309	3055
30	1347	2999
31	1383	2939
32	1420	2884
33	1461	2836
34	1501	2787
35	1544	2745
36	1585	2698
37	1620	2643
38	1658	2593
39	1695	2542
40	1732	2492
41	1769	2443
42	1815	2406
43	1858	2365
44	1905	2329
45	1949	2288
46	1986	2239
47	2023	2192
48	2059	2143
49	2097	2097
50	2135	2051
51	2176	2008
52	2211	1960
53	2248	1915
54	2284	1868
55	2321	1824
56	2358	1779
57	2398	1736
58	2438	1694
59	2478	1652
60	2516	1609
61	2556	1567
62	2593	1523
63	2634	1481
64	2672	1439
65	2710	1396
66	2746	1352
67	2781	1308
68	2820	1267
69	2865	1227
70	2905	1186
71	2941	1143
72	2981	1102
73	3018	1060
74	3056	1018
75	3093	976
76	3132	935
77	3168	893
78	3209	853
79	3247	811
80	3287	771
81	3326	730
82	3364	689
83	3401	647
84	3436	606
85	3472	565
86	3509	524
87	3547	483
88	3583	442
89	3620	402
90	3657	361
91	3693	321
92	3733	280
93	3771	240
94	3808	200
95	3845	160
96	3882	120
97	3921	80
98	3955	39
99	3993	0
